,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
55,Pangai,-19.8,-174.35,75.31,69,75,13.8,TO,1666558478
56,Tilichiki,60.4667,166.1,9.27,90,29,6.62,RU,1666558169
57,Mount Isa,-20.7333,139.5,82.36,37,62,10.04,AU,1666558087
58,Torbay,47.6666,-52.7314,58.26,81,40,11.5,CA,1666557947
59,Moerai,-22.4333,-151.3333,74.53,83,99,11.61,PF,1666558478
60,Mahébourg,-20.4081,57.7,73.69,83,75,3.44,MU,1666558185
61,Trelew,-43.249,-65.3051,83.37,6,66,22.17,AR,1666558479
62,Pevek,69.7008,170.3133,14.94,94,100,4.29,RU,1666558084
63,Fort Nelson,58.8053,-122.7002,27.99,80,100,6.91,CA,1666558479
64,Bluff,-46.6,168.3333,46.38,80,100,18.81,NZ,1666558378
65,Mataura,-46.1927,168.8643,44.13,99,100,4.94,NZ,1666557780
66,Bathsheba,13.2167,-59.5167,86.61,70,40,18.41,BB,1666558268
67,East London,-33.0153,27.9116,68.99,83,100,7.56,ZA,1666558054
68,Nome,64.5011,-165.4064,39.27,87,100,21.85,US,1666558189
69,Kayerkan,69.3497,87.7602,18.77,96,99,5.03,RU,1666558480
70,Lebu,-37.6167,-73.65,53.92,69,2,10.29,CL,1666558055
71,Vostok,46.4856,135.8833,23.97,95,7,1.21,RU,1666558089
72,Vaini,-21.2,-175.2,75.36,69,20,13.8,TO,1666558060
73,Flin Flon,54.7682,-101.865,37.24,70,100,10.36,CA,1666558481
74,Bambous Virieux,-20.3428,57.7575,73.65,83,75,3.44,MU,1666557808
75,Port Alfred,-33.5906,26.891,63.18,91,93,8.46,ZA,1666558082
76,Provideniya,64.3833,-173.3,28.51,100,75,2.24,RU,1666558060
77,Ancud,-41.8697,-73.8203,48.81,91,100,21.68,CL,1666558098
78,Kapaa,22.0752,-159.319,82.38,77,75,12.66,US,1666557906
79,Ostrovnoy,68.0531,39.5131,38.26,91,100,15.32,RU,1666557844
80,Rybinsk,58.0446,38.8426,41.76,90,96,7.4,RU,1666558482
81,Punta Arenas,-53.15,-70.9167,55.51,50,0,25.32,CL,1666558482
82,Baijiantan,45.6333,85.1833,52.54,42,100,25.77,CN,1666558483
83,Hithadhoo,-0.6,73.0833,81.48,72,94,6.64,MV,1666558132
84,Hamilton,39.1834,-84.5333,79.59,38,0,12.66,US,1666558013
85,Luwuk,-0.9516,122.7875,79.83,75,99,1.1,ID,1666558483
86,Jamestown,42.097,-79.2353,71.24,32,0,3.44,US,1666557826
87,Yārāda,17.65,83.2667,75.52,88,75,4.61,IN,1666558483
88,Kuril'sk,45.2333,147.8833,44.08,71,100,13.18,RU,1666558484
89,Omboué,-1.5746,9.2618,76.78,92,100,6.06,GA,1666558201
90,Carnarvon,-24.8667,113.6333,67.57,67,13,15.97,AU,1666558106
91,Piaçabuçu,-10.4056,-36.4344,77.76,83,99,13.2,BR,1666558194
92,Lüderitz,-26.6481,15.1594,60.8,84,88,14.76,NA,1666558192
93,Saint-Philippe,-21.3585,55.7679,69.39,84,40,9.89,RE,1666558073
94,Lodwar,3.1191,35.5973,84.88,42,6,20.22,KE,1666558484
95,Grindavik,63.8424,-22.4338,41.47,93,75,18.41,IS,1666557907
96,Kodinsk,58.6881,99.1844,32.68,85,100,16.84,RU,1666558485
97,La Palma del Condado,37.3861,-6.5523,69.06,87,100,3.58,ES,1666558485
98,Grand Gaube,-20.0064,57.6608,73.8,74,9,1.99,MU,1666558218
99,Ribeira Grande,38.5167,-28.7,64.8,68,40,7.0,PT,1666558486
100,Hay River,60.8156,-115.7999,31.98,64,75,4.61,CA,1666558196
101,Nago,26.5881,127.9761,74.25,68,17,18.1,JP,1666558486
102,Cieza,38.24,-1.4199,70.61,59,100,3.53,ES,1666558486
103,Wanning,18.8003,110.3967,73.81,78,100,8.95,CN,1666558185
104,Teya,60.3778,92.6267,28.98,78,100,12.68,RU,1666558487
105,Yermakovskoye,53.2831,92.4003,35.47,65,86,17.09,RU,1666558487
106,Souillac,-20.5167,57.5167,73.78,83,75,3.44,MU,1666558005
107,Chokurdakh,70.6333,147.9167,0.19,98,99,8.88,RU,1666558052
108,Faanui,-16.4833,-151.75,79.18,75,92,12.17,PF,1666558079
109,Upernavik,72.7868,-56.1549,24.71,75,91,6.24,GL,1666557864
110,Galway,53.2719,-9.0489,53.89,89,27,6.6,IE,1666558456
111,Atbasar,51.8,68.3333,29.34,72,0,7.18,KZ,1666558488
112,Bridlington,54.0831,-0.1919,57.13,97,80,10.45,GB,1666558446
113,Lompoc,34.6391,-120.4579,76.78,44,0,16.11,US,1666558058
114,Biak,-0.9131,122.8766,78.04,77,100,0.92,ID,1666558488
115,Mari-Turek,56.7895,49.6235,38.21,75,100,15.46,RU,1666558489
116,Taltal,-25.4,-70.4833,63.99,68,23,6.58,CL,1666558489
117,Qandala,11.472,49.8728,80.67,77,50,2.51,SO,1666558077
118,Severobaykal'sk,55.65,109.3167,34.84,77,100,5.37,RU,1666558490
119,Saint George,37.1041,-113.5841,54.95,38,75,19.57,US,1666558117
120,Dikson,73.5069,80.5464,26.82,86,100,19.51,RU,1666558052
121,Naze,28.3667,129.4833,67.12,66,0,18.88,JP,1666558110
122,Kamenka,51.3223,42.7678,44.33,67,100,12.19,RU,1666558490
123,Cidreira,-30.1811,-50.2056,63.32,83,42,9.86,BR,1666558176
124,Cookeville,36.1628,-85.5016,76.71,36,0,8.05,US,1666558404
125,Birao,10.2849,22.7882,74.3,37,32,4.9,CF,1666558491
126,Alenquer,-1.9417,-54.7383,92.12,41,48,4.23,BR,1666558491
127,Hasaki,35.7333,140.8333,57.6,77,100,25.23,JP,1666557864
128,Hermanus,-34.4187,19.2345,65.8,85,81,14.76,ZA,1666558057
129,Clyde River,70.4692,-68.5914,25.03,93,100,11.5,CA,1666558089
130,Shumskiy,54.8318,99.1328,39.63,49,100,15.59,RU,1666558207
131,Bang Saphan,11.2126,99.5117,74.95,91,76,3.6,TH,1666558491
132,Palamós,41.8484,3.1291,69.57,54,100,12.57,ES,1666558492
133,Rokytne,51.2796,27.214,51.24,95,90,6.24,UA,1666558492
134,Richards Bay,-28.783,32.0377,69.57,94,62,2.21,ZA,1666557870
135,Zabul Province,32.25,67.25,52.12,18,0,7.0,AF,1666558493
136,Akdepe,42.0551,59.3788,46.49,60,10,8.88,TM,1666558493
137,Bethel,41.3712,-73.414,60.89,62,100,5.75,US,1666557861
138,Qaanaaq,77.484,-69.3632,21.6,93,100,1.83,GL,1666558398
139,Longyearbyen,78.2186,15.6401,19.24,79,20,8.05,SJ,1666558083
140,Norman Wells,65.282,-126.8329,26.64,80,100,6.91,CA,1666558152
141,The Pas,53.8251,-101.2541,39.22,60,100,10.36,CA,1666558494
142,Westport,41.1415,-73.3579,61.29,69,100,12.66,US,1666558228
143,Kruisfontein,-34.0033,24.7314,60.89,93,100,1.16,ZA,1666558070
144,Arraial do Cabo,-22.9661,-42.0278,75.16,73,75,9.22,BR,1666558095
145,Imatra,61.1719,28.7524,38.1,76,8,3.0,FI,1666558494
146,Tasiilaq,65.6145,-37.6368,32.16,97,100,7.7,GL,1666558120
147,Kuvshinovo,57.0295,34.1725,42.57,93,100,7.2,RU,1666558495
148,Tuktoyaktuk,69.4541,-133.0374,14.0,85,20,5.75,CA,1666558053
149,Nha Trang,12.25,109.1833,77.0,80,100,6.46,VN,1666558495
150,Hofn,64.2539,-15.2082,40.48,78,100,8.66,IS,1666558081
151,Ormara,25.2088,64.6357,80.42,70,0,15.12,PK,1666558496
152,Owando,-0.4819,15.8999,72.34,97,100,3.09,CG,1666558496
153,Giyani,-23.3025,30.7187,73.08,63,39,3.36,ZA,1666558497
154,Berlevåg,70.8578,29.0864,37.4,81,100,16.11,NO,1666557837
155,Hobyo,5.3505,48.5268,78.71,81,100,13.73,SO,1666558091
156,Bambanglipuro,-7.95,110.2833,77.13,89,100,4.18,ID,1666558497
157,Taoudenni,22.6783,-3.9836,86.63,13,95,11.14,ML,1666558229
158,Zhigansk,66.7697,123.3711,22.66,90,100,29.57,RU,1666558103
159,Bontang,0.1333,117.5,76.59,89,95,5.23,ID,1666558497
160,Finote Selam,10.7,37.2667,55.72,91,11,3.44,ET,1666558498
161,Cherskiy,68.75,161.3,9.86,96,100,8.14,RU,1666558117
162,Manali,13.1667,80.2667,78.89,68,47,12.12,IN,1666558498
163,Scarborough,54.2797,-0.4044,56.77,92,70,3.0,GB,1666557935
164,Pimentel,-6.8367,-79.9342,68.29,64,20,21.85,PE,1666558030
165,Ntungamo,-0.8833,29.65,64.85,82,100,3.47,UG,1666558475
166,Chicama,-7.8447,-79.1469,63.14,61,93,10.2,PE,1666558249
167,Quatre Cocos,-20.2078,57.7625,73.51,78,2,9.69,MU,1666558499
168,Jutaí,-5.1833,-68.9,74.89,90,100,0.45,BR,1666558499
169,Williams Lake,52.1415,-122.1445,44.06,59,75,14.97,CA,1666558245
170,Eyl,7.9803,49.8164,78.22,80,5,4.63,SO,1666558094
171,Panguna,-6.3164,155.4848,73.65,82,63,1.12,PG,1666558499
172,Pisco,-13.7,-76.2167,69.85,64,0,19.57,PE,1666558126
173,Areado,-21.3586,-46.1456,75.81,48,16,4.43,BR,1666558500
174,Perth,-31.9333,115.8333,58.03,98,75,0.0,AU,1666558201
175,Henties Bay,-22.116,14.2845,58.21,93,77,7.0,NA,1666558211
176,Laguna,38.421,-121.4238,71.76,24,0,18.41,US,1666558121
177,Severo-Kuril'sk,50.6789,156.125,37.04,95,99,5.7,RU,1666557939
178,Bonavista,48.6499,-53.1147,55.02,75,16,10.29,CA,1666558501
179,Narsaq,60.9167,-46.05,34.02,92,99,5.28,GL,1666558090
180,Port Elizabeth,-33.918,25.5701,65.32,91,0,4.61,ZA,1666558501
181,Ampanihy,-24.7,44.75,69.06,85,0,2.53,MG,1666558501
182,Bairnsdale,-37.8333,147.6167,57.06,97,100,4.0,AU,1666558502
183,Port Macquarie,-31.4333,152.9167,62.89,93,100,6.98,AU,1666557929
184,Mehamn,71.0357,27.8492,37.35,75,75,17.27,NO,1666558502
185,Caborca,30.5838,-111.101,74.98,32,73,16.82,MX,1666558411
186,Otane,-39.8833,176.6333,67.01,58,27,3.62,NZ,1666558503
187,Asău,46.4333,26.4,47.32,91,39,5.53,RO,1666558429
188,Rio Grande,-32.035,-52.0986,71.71,82,0,7.78,BR,1666558072
189,Rancho Palos Verdes,33.7445,-118.387,75.78,66,40,11.5,US,1666558455
190,Tiznit Province,29.5833,-9.5,76.84,14,98,10.16,MA,1666558219
191,Katsuura,35.1333,140.3,62.13,82,100,23.11,JP,1666558178
192,Shangrao,28.4532,117.9686,60.08,67,51,8.68,CN,1666558504
193,Guerrero Negro,27.9769,-114.0611,73.49,54,100,13.29,MX,1666558187
194,Belmira,6.6051,-75.6662,66.56,86,98,1.39,CO,1666558505
195,Lafiagi,8.8667,5.4167,80.74,48,100,1.63,NG,1666558505
196,Avarua,-21.2078,-159.775,77.05,94,75,9.22,CK,1666557829
197,Kalmar,56.6616,16.3616,50.97,98,100,1.14,SE,1666558506
198,New Norfolk,-42.7826,147.0587,51.3,80,100,1.99,AU,1666558068
199,Oodweyne,9.4092,45.064,71.69,72,68,0.96,SO,1666558506
200,Iqaluit,63.7506,-68.5145,29.93,92,75,9.22,CA,1666558139
201,Tyukalinsk,55.8732,72.1967,28.4,78,47,12.64,RU,1666558507
202,Husavik,66.0449,-17.3389,34.03,78,100,9.42,IS,1666558192
203,Greenville,35.6127,-77.3663,66.36,84,100,8.05,US,1666558350
204,Mareeba,-17.0,145.4333,74.48,95,41,0.83,AU,1666558508
205,Paysandu,-32.3214,-58.0756,71.6,55,20,5.75,UY,1666558508
206,Havelock,34.8791,-76.9013,67.98,85,100,13.8,US,1666558125
207,Ahipara,-35.1667,173.1667,61.23,61,0,3.87,NZ,1666558062
208,Marawi,7.9986,124.2928,68.05,94,83,1.52,PH,1666558132
209,Biltine,14.5333,20.9167,86.59,18,41,18.12,TD,1666558509
210,Flinders,-34.5833,150.8552,63.18,93,100,3.0,AU,1666557989
211,Hīt,33.6416,42.8251,75.15,40,59,10.27,IQ,1666558509
212,Rørvik,64.8621,11.2373,32.11,93,20,3.44,NO,1666558510
213,Te Anau,-45.4167,167.7167,44.22,98,100,7.07,NZ,1666558510
214,Sumbe,-11.2061,13.8437,75.92,86,84,7.34,AO,1666558510
215,North Bend,43.4065,-124.2243,60.17,87,40,3.44,US,1666558511
216,Caravelas,-17.7125,-39.2481,75.9,83,52,9.48,BR,1666558265
217,Zyryanka,65.75,150.85,-5.31,96,64,9.86,RU,1666558511
218,Seoul,37.5683,126.9778,47.64,84,0,6.91,KR,1666557686
219,Acapulco de Juárez,16.8634,-99.8901,84.06,73,43,9.48,MX,1666558455
220,Pacific Grove,36.6177,-121.9166,70.21,65,1,7.0,US,1666558511
221,Cotonou,6.3654,2.4183,78.78,89,20,3.44,BJ,1666558512
222,Águas Formosas,-17.0822,-40.9358,71.31,94,100,4.14,BR,1666558512
223,Talnakh,69.4865,88.3972,22.44,96,100,6.96,RU,1666558117
224,Riacho de Santana,-13.6092,-42.9389,81.46,46,87,3.29,BR,1666558450
225,Novokayakent,42.3937,47.9861,56.34,82,96,10.22,RU,1666558513
226,Rocha,-34.4833,-54.3333,60.08,85,71,8.23,UY,1666558514
227,Amudat,1.95,34.95,75.13,44,31,17.87,UG,1666558514
228,Najrān,17.4924,44.1277,66.85,30,0,1.3,SA,1666558370
229,Sechura,-5.5569,-80.8222,74.23,56,89,16.89,PE,1666558515
230,Airai,-8.9266,125.4092,61.05,82,96,2.66,TL,1666557804
231,Mgandu,-5.95,34.1333,67.91,54,99,7.45,TZ,1666558515
232,Sfântu Gheorghe,45.8667,25.7833,53.26,94,52,0.65,RO,1666558516
233,Soe,-9.8607,124.284,67.05,88,86,3.69,ID,1666558517
234,Dauphin,51.1494,-100.0502,42.94,75,100,23.02,CA,1666558109
235,Baykit,61.67,96.37,26.38,84,100,14.09,RU,1666558157
236,Bariloche,-41.1456,-71.3082,59.25,29,20,24.16,AR,1666558103
237,Sarkand,45.41,79.9186,39.52,71,96,0.81,KZ,1666558518
238,Vanavara,60.34,102.2797,31.05,92,98,18.41,RU,1666558518
239,Borkenes,68.774,16.1739,36.55,100,100,3.67,NO,1666558519
240,Gravdal,68.1214,13.5031,35.49,69,40,4.61,NO,1666558519
241,Talakan,50.3167,130.3667,28.24,71,5,2.51,RU,1666558520
242,Tyup,42.7276,78.3648,39.97,80,100,5.91,KG,1666558520
243,Srednekolymsk,67.45,153.6833,-4.25,95,99,6.44,RU,1666558520
244,Saint Paul Harbor,57.79,-152.4072,44.11,49,0,18.41,US,1666558106
245,Bagdarin,54.4333,113.6,27.3,75,87,1.7,RU,1666558521
246,Owatonna,44.0839,-93.226,76.23,52,0,25.32,US,1666558522
247,Luau,-10.7073,22.2247,67.26,84,98,7.0,AO,1666558522
248,Swabi,34.1199,72.4699,65.07,40,0,4.83,PK,1666558523
249,Yashkul',46.1711,45.3435,48.9,76,100,9.31,RU,1666558524
250,Jiguaní,20.3667,-76.4272,80.51,80,47,8.3,CU,1666558524
251,Mount Gambier,-37.8333,140.7667,53.51,94,100,14.97,AU,1666558524
252,Terrasini,38.146,13.0844,69.22,82,0,4.61,IT,1666558525
253,Bellmead,31.594,-97.1089,87.44,42,75,20.71,US,1666558525
254,São José da Coroa Grande,-8.8978,-35.1478,77.52,80,60,11.54,BR,1666558526
255,Sitka,57.0531,-135.33,48.09,53,100,12.66,US,1666558075
256,Aykhal,66.0,111.5,27.12,97,100,6.29,RU,1666558131
257,Kidderminster,52.3882,-2.25,56.37,96,100,4.79,GB,1666558526
258,Forsytheganj,52.6333,29.7333,50.0,88,100,10.02,BY,1666558110
259,Yulara,-25.2406,130.9889,64.42,49,0,12.62,AU,1666558213
260,Isla Mujeres,21.2311,-86.731,84.16,66,11,10.02,MX,1666558139
261,Alugan,12.2188,125.4808,80.56,84,100,7.2,PH,1666558527
262,Cocorit,27.5833,-109.9667,85.8,38,77,12.03,MX,1666558527
263,Nzega,-2.479,29.5564,58.05,71,34,2.77,RW,1666558528
264,Margate,51.3813,1.3862,63.9,90,25,8.01,GB,1666558124
265,Klaksvík,62.2266,-6.589,47.32,80,100,21.39,FO,1666558238
266,Çeşme,38.3228,26.3064,65.37,68,0,6.87,TR,1666558529
267,Udachny,66.4167,112.4,30.45,92,100,11.23,RU,1666558529
268,Khatanga,71.9667,102.5,6.96,88,33,8.81,RU,1666558171
269,Rovaniemi,66.5,25.7167,33.21,69,0,13.8,FI,1666558529
270,Amahai,-3.3333,128.9167,78.12,85,87,2.35,ID,1666558242
271,San Quintín,30.4833,-115.95,68.14,61,40,17.18,MX,1666557974
272,Kaitangata,-46.2817,169.8464,46.04,94,100,10.78,NZ,1666557908
273,Los Algarrobos,8.5,-82.4333,75.61,100,40,13.8,PA,1666558530
274,Sur,22.5667,59.5289,80.08,39,0,8.43,OM,1666558531
275,Ust-Kuyga,70.0167,135.6,3.27,99,95,8.72,RU,1666558531
276,Arrondissement de Gap,44.6667,6.0,47.84,83,100,6.13,FR,1666558532
277,Anadyr,64.75,177.4833,21.7,86,75,13.42,RU,1666558219
278,Hailar,49.2,119.7,25.92,66,36,7.23,CN,1666558532
279,Campo Verde,-20.4167,-54.0667,80.29,52,5,6.11,BR,1666558533
280,Sioux Lookout,50.1001,-91.917,60.87,63,20,5.75,CA,1666558211
281,Saint Anthony,45.0205,-93.218,77.9,52,0,23.02,US,1666558091
282,Moroni,-11.7022,43.2551,75.2,77,4,1.32,KM,1666558533
283,Saýat,38.7839,63.8803,53.47,37,100,8.03,TM,1666558533
284,Pontes e Lacerda,-15.2261,-59.3353,74.37,91,100,2.26,BR,1666558534
285,Orán,-23.1322,-64.326,88.43,23,16,7.45,AR,1666558534
286,Necochea,-38.5473,-58.7368,68.85,35,100,14.05,AR,1666558071
287,Plettenberg Bay,-34.0527,23.3716,61.86,92,82,3.8,ZA,1666558534
288,Paragominas,-2.9667,-47.4833,89.08,49,95,6.64,BR,1666558271
289,Tiksi,71.6872,128.8694,20.73,95,100,10.31,RU,1666558535
290,São Filipe,14.8961,-24.4956,79.97,68,0,13.8,CV,1666558137
291,San Patricio,28.017,-97.5169,87.66,61,100,20.87,US,1666558083
292,Cockburn Town,21.4612,-71.1419,82.15,70,92,9.35,TC,1666558119
293,Soyo,-6.1349,12.3689,77.04,91,53,6.89,AO,1666558371
294,Bilibino,68.0546,166.4372,-4.65,100,100,1.77,RU,1666557859
295,Tingi,-11.3,35.0333,66.88,55,10,5.77,TZ,1666558536
296,Cravo Norte,6.3017,-70.2041,86.54,64,94,5.23,CO,1666558536
297,Laas,46.6166,10.7002,58.08,96,93,4.23,IT,1666558244
298,Vanimo,-2.6741,141.3028,77.56,88,91,3.42,PG,1666558536
299,Sinegor'ye,62.0788,150.477,-4.14,95,97,2.13,RU,1666558141
300,Waingapu,-9.6567,120.2641,80.22,82,93,4.25,ID,1666558537
301,Ilulissat,69.2167,-51.1,32.02,93,75,1.14,GL,1666557906
302,Montenegro,42.5,19.3,53.35,77,0,2.3,ME,1666558537
303,North Platte,41.1239,-100.7654,78.33,19,1,18.01,US,1666558537
304,Zheleznodorozhnyy,55.7503,38.0042,43.36,95,100,4.05,RU,1666558538
305,Comodoro Rivadavia,-45.8667,-67.5,71.46,20,0,20.71,AR,1666558193
306,Kuminskiy,58.6667,66.5667,31.5,68,100,13.53,RU,1666558217
307,Bengkulu,-3.8004,102.2655,75.83,89,98,3.0,ID,1666557907
308,Erzin,36.9559,36.2,67.53,38,0,4.38,TR,1666558055
309,Half Moon Bay,37.4636,-122.4286,72.41,43,0,17.27,US,1666558202
310,Bilma,18.6853,12.9164,80.6,25,5,10.42,NE,1666558539
311,Aklavik,68.2191,-135.0107,14.74,93,91,2.73,CA,1666558059
312,Sambava,-14.2667,50.1667,70.97,86,26,4.32,MG,1666558539
313,Qaqortoq,60.7167,-46.0333,35.2,92,99,5.14,GL,1666558484
314,Kluczbork,50.9728,18.2182,51.98,77,99,9.78,PL,1666558540
315,Ratnagiri,16.9833,73.3,72.84,63,0,7.31,IN,1666558541
316,Manicoré,-5.8092,-61.3003,84.15,74,98,10.36,BR,1666558541
317,Esperance,-33.8667,121.9,53.37,84,100,15.05,AU,1666558541
318,West Wendover,40.7391,-114.0733,45.61,29,0,25.32,US,1666558493
319,Uruguaiana,-29.7547,-57.0883,76.93,38,0,11.5,BR,1666558541
320,Leningradskiy,69.3833,178.4167,20.57,94,99,10.78,RU,1666557846
321,Porto Belo,-27.1578,-48.5531,73.35,84,25,5.01,BR,1666558542
322,Cayenne,4.9333,-52.3333,84.24,74,0,8.05,GF,1666558250
323,Zabaykal'sk,49.6333,117.3167,29.32,67,10,5.37,RU,1666558542
324,Irecê,-11.3042,-41.8558,80.65,49,97,10.49,BR,1666558542
325,Acurenam,1.0322,10.6488,68.22,99,100,2.21,GQ,1666558543
326,Itoman,26.1247,127.6694,75.22,72,75,24.16,JP,1666558086
327,Boljoon,9.6281,123.4785,81.3,76,91,2.33,PH,1666558544
328,Terrace,54.5163,-128.6035,39.11,93,75,6.91,CA,1666558545
329,Novikovo,51.1537,37.8879,47.08,95,100,10.0,RU,1666558545
330,Panan,15.2134,120.0272,79.09,78,67,4.07,PH,1666558545
331,Milos,36.75,24.4333,67.87,73,0,1.39,GR,1666558545
332,Las Vegas,36.175,-115.1372,67.12,18,0,25.32,US,1666558286
333,Tazovsky,67.4667,78.7,27.72,85,84,16.13,RU,1666558546
334,Sistranda,63.7256,8.834,43.99,74,83,18.16,NO,1666558546
335,Karratha,-20.7377,116.8463,69.31,66,0,16.06,AU,1666558135
336,Avallon,47.4833,3.9,64.11,66,26,13.67,FR,1666558547
337,Fortuna,40.5982,-124.1573,60.93,64,0,16.11,US,1666558092
338,Beloha,-25.1667,45.05,69.35,84,7,2.93,MG,1666558247
339,Tura,25.5198,90.2201,70.2,78,100,3.96,IN,1666558116
340,Maués,-3.3836,-57.7186,88.27,52,99,1.21,BR,1666558487
341,Lake Charles,30.2131,-93.2044,81.03,62,75,25.32,US,1666558132
342,Talara,-4.5772,-81.2719,72.36,64,0,18.41,PE,1666558548
343,Touho,-20.7833,165.2333,73.71,88,100,19.57,NC,1666558548
344,Itarema,-2.9248,-39.9167,79.52,77,16,14.56,BR,1666558209
345,Shache,38.4167,77.2406,53.38,25,50,5.46,CN,1666558548
346,Arlit,18.7369,7.3853,82.44,18,51,14.14,NE,1666558105
347,Hambantota,6.1241,81.1185,78.13,80,84,13.4,LK,1666558191
348,Wajima,37.4,136.9,55.72,58,98,8.32,JP,1666558252
349,Abu Dhabi,24.4667,54.3667,84.22,72,0,3.44,AE,1666558534
350,Bonthe,7.5264,-12.505,78.35,83,89,3.56,SL,1666558100
351,Constitución,-35.3333,-72.4167,56.61,58,81,6.85,CL,1666558462
352,Belogorsk,50.9158,128.4611,25.2,70,6,4.99,RU,1666558549
353,Belmonte,-15.8631,-38.8828,77.0,83,80,10.33,BR,1666558054
354,Coos Bay,43.3665,-124.2179,60.24,88,40,3.44,US,1666558549
355,Middelkerke,51.1558,2.8418,62.2,86,40,9.22,BE,1666558550
356,Mogok,22.9167,96.5,66.96,74,98,2.84,MM,1666558550
357,Tezu,27.9167,96.1667,71.71,62,100,2.68,IN,1666558122
358,Sinnamary,5.3833,-52.95,82.62,80,87,13.04,GF,1666558081
